place_iri,place_label,target_authority,target_iri,target_browse_url
urn:voices:place:saloniki-greece-concentration-camp,Saloniki Greece Concentration Camp,geonames,https://sws.geonames.org/734077/,https://www.geonames.org/734077
urn:voices:place:scheveningen-netherlands,Scheveningen Netherlands,geonames,https://sws.geonames.org/2747599/,https://www.geonames.org/2747599
urn:voices:place:schw-bisch-hall-germany,Schw Bisch Hall Germany,geonames,https://sws.geonames.org/2905306/,https://www.geonames.org/2905306
urn:voices:place:schweinfurt-germany,Schweinfurt Germany,geonames,https://sws.geonames.org/2834498/,https://www.geonames.org/2834498
urn:voices:place:sicily-italy-island,Sicily Italy Island,geonames,https://sws.geonames.org/2523118/,https://www.geonames.org/2523118
urn:voices:place:sidney-usa-generic,Sidney Usa Generic,geonames,https://sws.geonames.org/5172078/,https://www.geonames.org/5172078
urn:voices:place:south-america,South America,geonames,https://sws.geonames.org/3625428/,https://www.geonames.org/3625428
urn:voices:place:south-bend-indiana-usa,South Bend Indiana Usa,geonames,https://sws.geonames.org/4926563/,https://www.geonames.org/4926563
urn:voices:place:south-carolina-usa-state,South Carolina Usa State,geonames,https://sws.geonames.org/4588718/,https://www.geonames.org/4588718
urn:voices:place:stalowa-wola-poland-concentration-camp,Stalowa Wola Poland Concentration Camp,geonames,https://sws.geonames.org/758445/,https://www.geonames.org/758445
urn:voices:place:szebnie-poland,Szebnie Poland,geonames,https://sws.geonames.org/757352/,https://www.geonames.org/757352
urn:voices:place:szubin-poland,Szubin Poland,geonames,https://sws.geonames.org/3083611/,https://www.geonames.org/3083611
urn:voices:place:tarn-et-garonne-france-department,Tarn Et Garonne France Department,geonames,https://sws.geonames.org/2993002/,https://www.geonames.org/2993002
urn:voices:place:tatra-mountains,Tatra Mountains,geonames,https://sws.geonames.org/11102654/,https://www.geonames.org/11102654
urn:voices:place:thailand,Thailand,geonames,https://sws.geonames.org/12644757/,https://www.geonames.org/12644757
urn:voices:place:the-hague-netherlands,The Hague Netherlands,geonames,https://sws.geonames.org/2747373/,https://www.geonames.org/2747373
urn:voices:place:tokaj-hungary,Tokaj Hungary,geonames,https://sws.geonames.org/714659/,https://www.geonames.org/714659
urn:voices:place:toorak-victoria-australia,Toorak Victoria Australia,geonames,https://sws.geonames.org/2146291/,https://www.geonames.org/2146291
urn:voices:place:tournai-belgium,Tournai Belgium,geonames,https://sws.geonames.org/2785341/,https://www.geonames.org/2785341
urn:voices:place:tours-france,Tours France,geonames,https://sws.geonames.org/2972191/,https://www.geonames.org/2972191
urn:voices:place:trzebinia-cracow-poland,Trzebinia Cracow Poland,geonames,https://sws.geonames.org/3083111/,https://www.geonames.org/3083111
urn:voices:place:unterriexingen-germany-concentration-camp,Unterriexingen Germany Concentration Camp,geonames,https://sws.geonames.org/2818845/,https://www.geonames.org/2818845
urn:voices:place:waldlager-germany-concentration-camp-generic,Waldlager Germany Concentration Camp Generic,geonames,https://sws.geonames.org/2814872/,https://www.geonames.org/2814872
urn:voices:place:wittenburg-germany-generic,Wittenburg Germany Generic,geonames,https://sws.geonames.org/2807335/,https://www.geonames.org/2807335
urn:voices:place:woodmere-usa-generic,Woodmere Usa Generic,geonames,https://sws.geonames.org/4346615/,https://www.geonames.org/4346615
urn:voices:place:yeovil-somerset-england-uk,Yeovil Somerset England Uk,geonames,https://sws.geonames.org/2633373/,https://www.geonames.org/2633373
urn:voices:place:yonkers-new-york-usa,Yonkers New York Usa,geonames,https://sws.geonames.org/5145215/,https://www.geonames.org/5145215
urn:voices:place:aid-giving,Aid Giving,wikidata,https://www.wikidata.org/entity/Q2251595,https://www.wikidata.org/wiki/Q2251595
urn:voices:place:asbest-sverdlovsk-russia-ussr-generic,Asbest Sverdlovsk Russia Ussr Generic,wikidata,https://www.wikidata.org/entity/Q104059,https://www.wikidata.org/wiki/Q104059
urn:voices:place:barns,Barns,wikidata,https://www.wikidata.org/entity/Q808532,https://www.wikidata.org/wiki/Q808532
urn:voices:place:berdichev-zhitomir-ukraine-ussr,Berdichev Zhitomir Ukraine Ussr,wikidata,https://www.wikidata.org/entity/Q158799,https://www.wikidata.org/wiki/Q158799
urn:voices:place:bolkenhain-germany,Bolkenhain Germany,wikidata,https://www.wikidata.org/entity/Q774352,https://www.wikidata.org/wiki/Q774352
